id|name|gender
2122|Edward Lachman|2
2123|Robert Bierman|2
2125|Jim Wynorski|2
2129|Matt Reeves|2
2130|James Keach|2
2131|Thomas Carter|2
2134|Jonathan Hensleigh|2
2135|Jerry Jameson|2
2137|Francis Veber|2
2138|Steve Carr|2
2143|Pieter Kuijpers|2
2149|Juan Diego Solanas|0
2151|Jason Friedberg|2
2152|David Schmoeller|2
2155|Allan A. Goldstein|2
2162|Kurt Wimmer|2
2163|Michael Hoffman|2
2165|Wayne Kramer|2
2167|Jason Reitman|2
2169|Katt Shea|1
2170|Paulo Morelli|0
2172|Jose Padilha|2
2173|Erick Zonca|0
2175|Breck Eisner|2
2177|Joseph Ruben|2
2178|Peter Lord|2
2179|Jim Sheridan|2
2181|Gary Goldman|2
2182|Garth Jennings|2
2184|Nick Cassavetes|2
2185|Lana Wachowski|1
2188|Roger Allers|2
2189|Brian Koppelman|2
2192|Aamir Khan|2
2193|Ryan Murphy|2
2194|Tony Goldwyn|2
2198|Joe Carnahan|2
2200|Karey Kirkpatrick|2
2203|Rob McKittrick|0
2206|Dennis Gansel|2
2210|Ryan Fleck|2
2211|Eran Riklis|2
2216|David Jacobson|2
2218|Craig Brewer|2
2219|Rakeysh Omprakash Mehra|0
2221|David Schwimmer|2
2226|Andrew Morahan|2
2227|Pan Nalin|0
2231|Tommy Lee Jones|2
2232|Mario Van Peebles|2
2234|Ira Sachs|2
2238|Roger Vadim|2
2239|Farah Khan|1
2241|Peter Mullan|2
2243|Susan Seidelman|1
2246|Jared Hess|2
2247|Dito Montiel|2
2251|Karyn Kusama|1
2252|Mark Waters|2
2256|Dany Boon|2
2259|Scott Frank|2
2260|D.J. Caruso|2
2262|Jesse Dylan|2
2263|Steve Rash|2
2264|Joe Nussbaum|2
2268|Olivier Assayas|2
2270|Frank Miller|2
2273|Martin McDonagh|2
2276|Jon M. Chu|2
2277|Jaume Balaguero|2
2278|Christian Alvart|2
2284|Joel Zwick|2
2286|Michael Cimino|2
2287|Nikolai Mullerschon|2
2290|William Arntz|2
2292|Greg Mottola|2
2295|Troy Duffy|2
2300|Adam Brooks|2
2303|Dave Meyers|0
2310|Allan Moyle|2
2314|Marc Rocco|2
2315|Hector Babenco|2
2321|Jeff Wadlow|2
2322|Joe Chappelle|2
2325|Bruce McDonald|2
2326|Asif Kapadia|0
2327|Jerrold Freedman|2
2329|Mark Herman|0
2335|Warren Beatty|2
2336|Nelson McCormick|2
2337|Nicholas Hytner|2
2338|Scott Derrickson|2
2346|Pierre Morel|2
